date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:41	45554/45554	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2003:06:46%20GMT	https://www.entyviohcp.com/	C:/entyviohcp/entyviohcp/www.entyviohcp.com/index.html	(from )
10:29:41	269/269	---M--	200	added ('OK')	text/plain	etag:%2205c6f5388f2d71:0%22	https://www.entyviohcp.com/robots.txt		(from )
10:29:43	219307/219307	---M--	200	added ('OK')	image/png	etag:%228098a55188f2d71:0%22	https://www.entyviohcp.com/Content/images/logos/Entyvio-logo_OG_image.png	C:/entyviohcp/entyviohcp/www.entyviohcp.com/Content/images/logos/Entyvio-logo_OG_image.png	(from https://www.entyviohcp.com/)
10:29:43	1122/1122	---M--	200	added ('OK')	image/png	etag:%228098a55188f2d71:0%22	https://www.entyviohcp.com/Content/images/logos/favicon.png	C:/entyviohcp/entyviohcp/www.entyviohcp.com/Content/images/logos/favicon.png	(from https://www.entyviohcp.com/)
10:29:47	2543/2543	---MCZ	200	added ('OK')	application/javascript	etag:W/%2205c6f5388f2d71:0%22	https://www.entyviohcp.com/Scripts/src/components/digitalData-Entyvio.js	C:/entyviohcp/entyviohcp/www.entyviohcp.com/Scripts/src/components/digitalData-Entyvio.js	(from https://www.entyviohcp.com/)
10:29:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2014%20Feb%202022%2003:29:47%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/entyviohcp/entyviohcp/www.googletagmanager.com/gtm.55445.delayed	(from https://www.entyviohcp.com/)
10:29:48	227270/227270	---MCZ	200	added ('OK')	application/x-javascript	etag:%22d6a6fe38eb61dad9f2991a95106d2ce2:1637170845.853968%22	http://assets.adobedtm.com/8fee56b0a165/6889643c630d/launch-bb8830cef805.min.js	C:/entyviohcp/entyviohcp/assets.adobedtm.com/8fee56b0a165/6889643c630d/launch-bb8830cef805.min.js	(from https://www.entyviohcp.com/)
10:29:48	25816/25816	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2003:29:48%20GMT	https://www.entyviohcp.com/covid19	C:/entyviohcp/entyviohcp/www.entyviohcp.com/covid19.html	(from https://www.entyviohcp.com/)
10:29:48	1117618/1117618	---MCZ	200	added ('OK')	application/javascript	etag:W/%2205c6f5388f2d71:0%22	https://www.entyviohcp.com/Scripts/dist/main.js?9ACEE82F0D44121C2ABB98FA5832C1193F35EAF57BED54F95179B31DECA5DB1C	C:/entyviohcp/entyviohcp/www.entyviohcp.com/Scripts/dist/mainbcc9.js	(from https://www.entyviohcp.com/)
10:29:49	23414/23414	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228098a55188f2d71:0%22	https://www.entyviohcp.com/Content/images/logos/logo-entyvio.svg	C:/entyviohcp/entyviohcp/www.entyviohcp.com/Content/images/logos/logo-entyvio.svg	(from https://www.entyviohcp.com/)
10:29:50	67621/67621	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Feb%202022%2003:29:50%20GMT	https://www.entyviohcp.com/clinical-efficacy/ulcerative-colitis/gemini-trial	C:/entyviohcp/entyviohcp/www.entyviohcp.com/clinical-efficacy/ulcerative-colitis/gemini-trial.html	(from https://www.entyviohcp.com/)
